ISO3,name,oecd_value,oecd_income
SDN,Sudan,2,Lower-middle-income
SUR,Suriname,3,Upper-middle-income
SWZ,Swaziland,2,Lower-middle-income
SWE,Sweden,4,Upper-income
CHE,Switzerland,4,Upper-income
SYR,Syria,2,Lower-middle-income
TJK,Tajikistan,1,Low-income
TZA,Tanzania,1,Low-income
THA,Thailand,2,Lower-middle-income
TLS,Timor-Leste,1,Low-income
TGO,Togo,1,Low-income
TON,Tonga,2,Lower-middle-income
TTO,Trinidad & Tobago,4,Upper-income
TUN,Tunisia,2,Lower-middle-income
TUR,Turkey,3,Upper-middle-income
TKM,Turkmenistan,2,Lower-middle-income
TUV,Tuvalu,1,Low-income
UGA,Uganda,1,Low-income
UKR,Ukraine,2,Lower-middle-income
ARE,United Arab Emirates,4,Upper-income
GBR,United Kingdom,4,Upper-income
USA,United States,4,Upper-income
URY,Uruguay,3,Upper-middle-income
UZB,Uzbekistan,1,Low-income
VUT,Vanuatu,2,Lower-middle-income
VEN,Venezuela,3,Upper-middle-income
VNM,Viet Nam,1,Low-income
YEM,Yemen,1,Low-income
ZMB,Zambia,1,Low-income
ZWE,Zimbabwe,1,Low-income
