ISO3,Name,Value,Trend,,,,,,,,,,,,,,
IRL,Ireland,0.038763375,1,,,,,,,,,,,,,,
ISR,Israel,0.11969777,1,,,,,,,,,,,,,,
ITA,Italy,0.057458601,1,,,,,,,,,,,,,,
JAM,Jamaica,0.166566115,1,,,,,,,,,,,,,,
JPN,Japan,-0.011592967,-1,,,,,,,,,,,,,,
JOR,Jordan,0.017161378,1,,,,,,,,,,,,,,
KAZ,Kazakhstan,-0.013051147,-1,,,,,,,,,,,,,,
KEN,Kenya,0.014572124,1,,,,,,,,,,,,,,
KIR,Kiribati,0.005047236,1,,,,,,,,,,,,,,
PRK,"Korea, Democratic People's Republic of",0.037325824,1,,,,,,,,,,,,,,
KOR,"Korea, Republic of",0.031212658,1,,,,,,,,,,,,,,
KWT,Kuwait,0.013746784,1,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,-0.03725198,-1,,,,,,,,,,,,,,
LAO,Laos,-0.120523765,-1,,,,,,,,,,,,,,
LVA,Latvia,0.00672605,1,,,,,,,,,,,,,,
LBN,Lebanon,-0.006302195,-1,,,,,,,,,,,,,,
LSO,Lesotho,0.10240454,1,,,,,,,,,,,,,,
LBR,Liberia,0.102033163,1,,,,,,,,,,,,,,
LBY,Libyan Arab Jamahiriya,-0.035040138,-1,,,,,,,,,,,,,,
LIE,Liechtenstein,0.046300818,1,,,,,,,,,,,,,,
LTU,Lithuania,-0.00795237,-1,,,,,,,,,,,,,,
LUX,Luxembourg,0.022365994,1,,,,,,,,,,,,,,
MDG,Madagascar,0.111340419,1,,,,,,,,,,,,,,
MWI,Malawi,,,,,,,,,,,,,,,,
MYS,Malaysia,-0.00929947,-1,,,,,,,,,,,,,,
MDV,Maldives,0.015897148,1,,,,,,,,,,,,,,
MLI,Mali,-0.037218787,-1,,,,,,,,,,,,,,
MLT,Malta,0.029347495,1,,,,,,,,,,,,,,
MHL,Marshall Islands,0.025813152,1,,,,,,,,,,,,,,
MRT,Mauritania,-0.008084934,-1,,,,,,,,,,,,,,
MUS,Mauritius,0.009137809,1,,,,,,,,,,,,,,
MEX,Mexico,0.018685062,1,,,,,,,,,,,,,,
FSM,"Micronesia, Federated States of",,,,,,,,,,,,,,,,
MDA,"Moldova, Republic of",-0.036838564,-1,,,,,,,,,,,,,,
MCO,Monaco,0.079864426,1,,,,,,,,,,,,,,
MKD,Macedonia ,0.032701293,1,,,,,,,,,,,,,,
MNG,Mongolia,-0.015040025,-1,,,,,,,,,,,,,,
MNE,Montenegro,0.00842589,1,,,,,,,,,,,,,,
MAR,Morocco,,,,,,,,,,,,,,,,
MOZ,Mozambique,0.10188123,1,,,,,,,,,,,,,,
MMR,Myanmar,0.031000452,1,,,,,,,,,,,,,,
NAM,Namibia,0.148081092,1,,,,,,,,,,,,,,
NRU,Nauru,0.076097839,1,,,,,,,,,,,,,,
NPL,Nepal,0.057405469,1,,,,,,,,,,,,,,
NLD,Netherlands,-0.031331604,-1,,,,,,,,,,,,,,
NZL,New Zealand,0.049542052,1,,,,,,,,,,,,,,
NIC,Nicaragua,,,,,,,,,,,,,,,,
NER,Niger,0.014114279,1,,,,,,,,,,,,,,
NGA,Nigeria,0.00206791,1,,,,,,,,,,,,,,
NOR,Norway,0.002281087,1,,,,,,,,,,,,,,
OMN,Oman,-0.02911735,-1,,,,,,,,,,,,,,
PAK,Pakistan,-0.010677977,-1,,,,,,,,,,,,,,
PLW,Palau,0.075048655,1,,,,,,,,,,,,,,
PAN,Panama,0.016475615,1,,,,,,,,,,,,,,
PNG,Papua New Guinea,0.065583686,1,,,,,,,,,,,,,,
PRY,Paraguay,0.010909436,1,,,,,,,,,,,,,,
PER,Peru,,,,,,,,,,,,,,,,
PHL,Philippines,0.019969647,1,,,,,,,,,,,,,,
POL,Poland,0.0223552,1,,,,,,,,,,,,,,
PRT,Portugal,0.121892302,1,,,,,,,,,,,,,,
QAT,Qatar,0.107200269,1,,,,,,,,,,,,,,
ROU,Romania,0.024869682,1,,,,,,,,,,,,,,
RUS,Russian Federation,0.059325907,1,,,,,,,,,,,,,,
RWA,Rwanda,0.018012954,1,,,,,,,,,,,,,,
KNA,Saint Kitts and Nevis,0.042973859,1,,,,,,,,,,,,,,
LCA,Saint Lucia,0.088955106,1,,,,,,,,,,,,,,
VCT,Saint Vincent and the Grenadines,-0.005766775,-1,,,,,,,,,,,,,,
WSM,Samoa,0.136999421,1,,,,,,,,,,,,,,
SMR,San Marino,,,,,,,,,,,,,,,,
STP,Sao Tome and Principe,0.032912519,1,,,,,,,,,,,,,,
SAU,Saudi Arabia,0.02150133,1,,,,,,,,,,,,,,
SEN,Senegal,0.032159662,1,,,,,,,,,,,,,,
SRB,Serbia,,,,,,,,,,,,,,,,
SYC,Seychelles,0.072007851,1,,,,,,,,,,,,,,
SLE,Sierra Leone,0.066708962,1,,,,,,,,,,,,,,
SGP,Singapore,-0.002327242,-1,,,,,,,,,,,,,,
SVK,Slovakia,0.061029419,1,,,,,,,,,,,,,,
SVN,Slovenia,0.012694585,1,,,,,,,,,,,,,,
SLB,Solomon Islands,0.069046994,1,,,,,,,,,,,,,,
SOM,Somalia,-0.004294182,-1,,,,,,,,,,,,,,
ZAF,South Africa,0.018250449,1,,,,,,,,,,,,,,
ESP,Spain,0.01698678,1,,,,,,,,,,,,,,
LKA,Sri Lanka,-0.01617421,-1,,,,,,,,,,,,,,
SDN,Sudan,,,,,,,,,,,,,,,,
SUR,Suriname,-0.015338545,-1,,,,,,,,,,,,,,
SWZ,Swaziland,0.008470053,1,,,,,,,,,,,,,,
SWE,Sweden,0.013044994,1,,,,,,,,,,,,,,
CHE,Switzerland,0.026164763,1,,,,,,,,,,,,,,
SYR,Syrian Arab Republic,0.025097899,1,,,,,,,,,,,,,,
TJK,Tajikistan,0.04789769,1,,,,,,,,,,,,,,
TZA,"Tanzania, United Republic of",0.009077944,1,,,,,,,,,,,,,,
THA,Thailand,0.022381618,1,,,,,,,,,,,,,,
TLS,Timor-Leste,0.065054532,1,,,,,,,,,,,,,,
TGO,Togo,0.071061312,1,,,,,,,,,,,,,,
TON,Tonga,0.050634916,1,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,0.024979005,1,,,,,,,,,,,,,,
TUN,Tunisia,0.00900318,1,,,,,,,,,,,,,,
TUR,Turkey,0.07182901,1,,,,,,,,,,,,,,
TKM,Turkmenistan,0.022337617,1,,,,,,,,,,,,,,
TUV,Tuvalu,-0.011612044,-1,,,,,,,,,,,,,,
UGA,Uganda,0.019092445,1,,,,,,,,,,,,,,
UKR,Ukraine,0.079863143,1,,,,,,,,,,,,,,
ARE,United Arab Emirates,0.104305593,1,,,,,,,,,,,,,,
GBR,United Kingdom,,,,,,,,,,,,,,,,
USA,United States,0.021742658,1,,,,,,,,,,,,,,
URY,Uruguay,-0.053382712,-1,,,,,,,,,,,,,,
UZB,Uzbekistan,0.038054175,1,,,,,,,,,,,,,,
VUT,Vanuatu,-0.022555449,-1,,,,,,,,,,,,,,
VEN,"Venezuela, Bolivarian Republic of",-0.001771123,-1,,,,,,,,,,,,,,
VNM,Viet Nam,0.073926873,1,,,,,,,,,,,,,,
YEM,Yemen,0.101048803,1,,,,,,,,,,,,,,
ZMB,Zambia,0.032630772,1,,,,,,,,,,,,,,
ZWE,Zimbabwe,-0.036695811,-1,,,,,,,,,,,,,,
