ISO3,Name,Value,Trend,,,,,,,,,,,,,,
IRL,Ireland,0.026003424,1,,,,,,,,,,,,,,
ISR,Israel,0.054521523,1,,,,,,,,,,,,,,
ITA,Italy,0.024630674,1,,,,,,,,,,,,,,
JAM,Jamaica,0.05420205,1,,,,,,,,,,,,,,
JPN,Japan,-0.01078135,-1,,,,,,,,,,,,,,
JOR,Jordan,0.009989963,1,,,,,,,,,,,,,,
KAZ,Kazakhstan,-0.012997296,-1,,,,,,,,,,,,,,
KEN,Kenya,0.027178314,1,,,,,,,,,,,,,,
KIR,Kiribati,0.005606559,1,,,,,,,,,,,,,,
PRK,"Korea, Democratic People's Republic of",0.018092174,1,,,,,,,,,,,,,,
KOR,"Korea, Republic of",0.009742892,1,,,,,,,,,,,,,,
KWT,Kuwait,0.012951736,1,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,,,,,,,,,,,,,,,,
LAO,Laos,-0.013718134,-1,,,,,,,,,,,,,,
LVA,Latvia,0.007547995,1,,,,,,,,,,,,,,
LBN,Lebanon,0.000319415,1,,,,,,,,,,,,,,
LSO,Lesotho,0.027684427,1,,,,,,,,,,,,,,
LBR,Liberia,0.0583524,1,,,,,,,,,,,,,,
LBY,Libyan Arab Jamahiriya,-0.017526724,-1,,,,,,,,,,,,,,
LIE,Liechtenstein,0.015445129,1,,,,,,,,,,,,,,
LTU,Lithuania,-0.004196015,-1,,,,,,,,,,,,,,
LUX,Luxembourg,0.0254555,1,,,,,,,,,,,,,,
MDG,Madagascar,0.045582127,1,,,,,,,,,,,,,,
MWI,Malawi,,,,,,,,,,,,,,,,
MYS,Malaysia,-0.007312306,-1,,,,,,,,,,,,,,
MDV,Maldives,-0.001841702,-1,,,,,,,,,,,,,,
MLI,Mali,-0.010711581,-1,,,,,,,,,,,,,,
MLT,Malta,0.026287182,1,,,,,,,,,,,,,,
MHL,Marshall Islands,0.012957248,1,,,,,,,,,,,,,,
MRT,Mauritania,0.001975936,1,,,,,,,,,,,,,,
MUS,Mauritius,0.006664172,1,,,,,,,,,,,,,,
MEX,Mexico,0.007686636,1,,,,,,,,,,,,,,
FSM,"Micronesia, Federated States of",,,,,,,,,,,,,,,,
MDA,"Moldova, Republic of",-0.006522947,-1,,,,,,,,,,,,,,
MCO,Monaco,0.041524087,1,,,,,,,,,,,,,,
MKD,Macedonia ,0.014517633,1,,,,,,,,,,,,,,
MNG,Mongolia,-0.010802851,-1,,,,,,,,,,,,,,
MNE,Montenegro,-0.00075304,-1,,,,,,,,,,,,,,
MAR,Morocco,,,,,,,,,,,,,,,,
MOZ,Mozambique,0.030755264,1,,,,,,,,,,,,,,
MMR,Myanmar,0.01964324,1,,,,,,,,,,,,,,
NAM,Namibia,,,,,,,,,,,,,,,,
NRU,Nauru,0.039821833,1,,,,,,,,,,,,,,
NPL,Nepal,0.033390525,1,,,,,,,,,,,,,,
NLD,Netherlands,-0.004519415,-1,,,,,,,,,,,,,,
NZL,New Zealand,0.029739734,1,,,,,,,,,,,,,,
NIC,Nicaragua,,,,,,,,,,,,,,,,
NER,Niger,0.011237692,1,,,,,,,,,,,,,,
NGA,Nigeria,0.001411926,1,,,,,,,,,,,,,,
NOR,Norway,0.003738251,1,,,,,,,,,,,,,,
OMN,Oman,-0.016547015,-1,,,,,,,,,,,,,,
PAK,Pakistan,0.004756003,1,,,,,,,,,,,,,,
PLW,Palau,0.040298856,1,,,,,,,,,,,,,,
PAN,Panama,0.008669309,1,,,,,,,,,,,,,,
PNG,Papua New Guinea,0.034451261,1,,,,,,,,,,,,,,
PRY,Paraguay,0.006800371,1,,,,,,,,,,,,,,
PER,Peru,,,,,,,,,,,,,,,,
PHL,Philippines,0.011334698,1,,,,,,,,,,,,,,
POL,Poland,0.016537066,1,,,,,,,,,,,,,,
PRT,Portugal,0.052980023,1,,,,,,,,,,,,,,
QAT,Qatar,0.056668564,1,,,,,,,,,,,,,,
ROU,Romania,0.014645709,1,,,,,,,,,,,,,,
RUS,Russian Federation,0.041963879,1,,,,,,,,,,,,,,
RWA,Rwanda,0.011006051,1,,,,,,,,,,,,,,
KNA,Saint Kitts and Nevis,0.028591831,1,,,,,,,,,,,,,,
LCA,Saint Lucia,0.043813139,1,,,,,,,,,,,,,,
VCT,Saint Vincent and the Grenadines,0.000376795,1,,,,,,,,,,,,,,
WSM,Samoa,0.093661495,1,,,,,,,,,,,,,,
SMR,San Marino,,,,,,,,,,,,,,,,
STP,Sao Tome and Principe,0.014732832,1,,,,,,,,,,,,,,
SAU,Saudi Arabia,0.011400357,1,,,,,,,,,,,,,,
SEN,Senegal,0.020397636,1,,,,,,,,,,,,,,
SRB,Serbia,,,,,,,,,,,,,,,,
SYC,Seychelles,0.038221152,1,,,,,,,,,,,,,,
SLE,Sierra Leone,0.025250148,1,,,,,,,,,,,,,,
SGP,Singapore,0.002412964,1,,,,,,,,,,,,,,
SVK,Slovakia,0.030563884,1,,,,,,,,,,,,,,
SVN,Slovenia,0.006264885,1,,,,,,,,,,,,,,
SLB,Solomon Islands,0.031707802,1,,,,,,,,,,,,,,
SOM,Somalia,-0.001108301,-1,,,,,,,,,,,,,,
ZAF,South Africa,0.004460669,1,,,,,,,,,,,,,,
ESP,Spain,0.004241358,1,,,,,,,,,,,,,,
LKA,Sri Lanka,-0.001465498,-1,,,,,,,,,,,,,,
SDN,Sudan,,,,,,,,,,,,,,,,
SUR,Suriname,-0.002283247,-1,,,,,,,,,,,,,,
SWZ,Swaziland,0.003439777,1,,,,,,,,,,,,,,
SWE,Sweden,0.003279218,1,,,,,,,,,,,,,,
CHE,Switzerland,0.018212735,1,,,,,,,,,,,,,,
SYR,Syrian Arab Republic,0.016277994,1,,,,,,,,,,,,,,
TJK,Tajikistan,0.020086694,1,,,,,,,,,,,,,,
TZA,"Tanzania, United Republic of",0.003462633,1,,,,,,,,,,,,,,
THA,Thailand,0.010750619,1,,,,,,,,,,,,,,
TLS,Timor-Leste,0.027706114,1,,,,,,,,,,,,,,
TGO,Togo,0.018382713,1,,,,,,,,,,,,,,
TON,Tonga,0.02718228,1,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,0.012143677,1,,,,,,,,,,,,,,
TUN,Tunisia,0.004989333,1,,,,,,,,,,,,,,
TUR,Turkey,0.0347898,1,,,,,,,,,,,,,,
TKM,Turkmenistan,0.02093949,1,,,,,,,,,,,,,,
TUV,Tuvalu,-0.001269834,-1,,,,,,,,,,,,,,
UGA,Uganda,0.009724067,1,,,,,,,,,,,,,,
UKR,Ukraine,0.033111194,1,,,,,,,,,,,,,,
ARE,United Arab Emirates,0.034673183,1,,,,,,,,,,,,,,
GBR,United Kingdom,,,,,,,,,,,,,,,,
USA,United States,0.019574671,1,,,,,,,,,,,,,,
URY,Uruguay,-0.027940684,-1,,,,,,,,,,,,,,
UZB,Uzbekistan,0.021641206,1,,,,,,,,,,,,,,
VUT,Vanuatu,-0.00953298,-1,,,,,,,,,,,,,,
VEN,"Venezuela, Bolivarian Republic of",0.003016752,1,,,,,,,,,,,,,,
VNM,Viet Nam,0.039837032,1,,,,,,,,,,,,,,
YEM,Yemen,0.02477653,1,,,,,,,,,,,,,,
ZMB,Zambia,0.019864789,1,,,,,,,,,,,,,,
ZWE,Zimbabwe,-0.020296459,-1,,,,,,,,,,,,,,
